,mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin,car_name
0,18.0,eight,307.0,130,3504.0,12.0,70,USA,chevrolet chevelle malibu
1,15.0,eight,350.0,165,3693.0,11.5,70,USA,buick skylark 320
2,18.0,eight,318.0,150,3436.0,11.0,70,USA,plymouth satellite
3,16.0,eight,304.0,150,3433.0,12.0,70,USA,amc rebel sst
4,17.0,eight,302.0,140,3449.0,10.5,70,USA,ford torino
5,15.0,eight,429.0,198,4341.0,10.0,70,USA,ford galaxie 500
6,14.0,eight,454.0,220,4354.0,9.0,70,USA,chevrolet impala
7,14.0,eight,440.0,215,4312.0,8.5,70,USA,plymouth fury iii
8,14.0,eight,455.0,225,4425.0,10.0,70,USA,pontiac catalina
9,15.0,eight,390.0,190,3850.0,8.5,70,USA,amc ambassador dpl
10,15.0,eight,383.0,170,3563.0,10.0,70,USA,dodge challenger se
11,14.0,eight,30000.0,160,3609.0,8.0,70,USA,plymouth 'cuda 340
12,15.0,eight,400.0,150,3761.0,9.5,70,USA,chevrolet monte carlo
13,14.0,eight,455.0,225,3086.0,10.0,70,USA,buick estate wagon (sw)
14,24.0,four,113.0,95,2372.0,15.0,70,Mexico,toyota corona mark ii
15,22.0,six,198.0,95,2833.0,15.5,70,USA,plymouth duster
16,18.0,six,199.0,97,,15.5,70,USA,amc hornet
17,21.0,six,200.0,85,2587.0,16.0,70,USA,ford maverick
18,27.0,four,97.0,88,2130.0,14.5,70,Mexico,datsun pl510
19,26.0,four,97.0,46,1835.0,20.5,70,Canada,volkswagen 1131 deluxe sedan
20,25.0,four,110.0,87,2672.0,17.5,70,Canada,peugeot 504
21,24.0,four,107.0,90,2430.0,14.5,70,Canada,audi 100 ls
22,25.0,four,104.0,95,2375.0,17.5,70,Canada,saab 99e
23,26.0,four,121.0,113,2234.0,12.5,70,Canada,bmw 2002
24,21.0,six,199.0,90,2648.0,15.0,70,USA,amc gremlin
25,10.0,eight,360.0,215,4615.0,14.0,70,USA,ford f250
26,10.0,eight,307.0,200,4376.0,15.0,70,USA,chevy c20
27,11.0,eight,318.0,210,4382.0,13.5,70,USA,dodge d200
28,9.0,eight,304.0,193,4732.0,18.5,70,USA,hi 1200d
29,27.0,four,-500.0,88,,14.5,71,Mexico,datsun pl510
30,28.0,four,140.0,90,2264.0,15.5,71,USA,chevrolet vega 2300
31,25.0,four,113.0,95,2228.0,14.0,71,Mexico,toyota corona
32,25.0,four,98.0,?,2046.0,19.0,71,USA,ford pinto
33,19.0,six,232.0,100,2634.0,13.0,71,USA,amc gremlin
34,16.0,six,225.0,105,3439.0,15.5,71,USA,plymouth satellite custom
35,17.0,six,250.0,100,3329.0,15.5,71,USA,chevrolet chevelle malibu
36,19.0,six,250.0,88,3302.0,15.5,71,USA,ford torino 500
37,18.0,six,232.0,100,3288.0,15.5,71,USA,amc matador
38,14.0,eight,350.0,165,4209.0,12.0,71,USA,chevrolet impala
39,14.0,eight,400.0,175,4464.0,11.5,71,USA,pontiac catalina brougham
40,14.0,eight,351.0,153,4154.0,13.5,71,USA,ford galaxie 500
41,14.0,eight,318.0,150,4096.0,13.0,71,USA,plymouth fury iii
42,12.0,eight,383.0,180,4955.0,11.5,71,USA,dodge monaco (sw)
43,13.0,eight,400.0,170,4746.0,12.0,71,USA,ford country squire (sw)
44,13.0,eight,400.0,175,5140.0,12.0,71,USA,pontiac safari (sw)
45,18.0,six,258.0,110,2962.0,13.5,71,USA,amc hornet sportabout (sw)
46,22.0,four,140.0,72,2408.0,19.0,71,USA,chevrolet vega (sw)
47,19.0,six,250.0,100,3282.0,15.0,71,USA,pontiac firebird
48,18.0,six,250.0,88,3139.0,14.5,71,USA,ford mustang
49,23.0,four,122.0,86,2220.0,14.0,71,USA,mercury capri 2000
50,28.0,four,116.0,90,2123.0,14.0,71,Canada,opel 1900
51,30.0,four,79.0,70,2074.0,19.5,71,Canada,peugeot 304
52,30.0,four,88.0,76,2065.0,14.5,71,Canada,fiat 124b
53,31.0,four,71.0,65,1773.0,19.0,71,Mexico,toyota corolla 1200
54,35.0,four,72.0,69,1613.0,18.0,71,Mexico,datsun 1200
55,27.0,four,97.0,60,1834.0,19.0,71,Canada,volkswagen model 111
56,26.0,four,91.0,70,1955.0,20.5,71,USA,plymouth cricket
57,24.0,four,113.0,95,2278.0,15.5,72,Mexico,toyota corona hardtop
58,25.0,four,97.5,80,2126.0,17.0,72,USA,dodge colt hardtop
59,23.0,four,97.0,54,2254.0,23.5,72,Canada,volkswagen type 3
60,20.0,four,140.0,?,2408.0,19.5,72,USA,chevrolet vega
61,21.0,four,122.0,86,2226.0,16.5,72,USA,ford pinto runabout
